Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: 53.82711875761634, time: 35.131
steps: 49975, episodes: 2000, mean episode reward: 29.975052476816813, time: 52.202
steps: 74975, episodes: 3000, mean episode reward: 39.121887326940374, time: 52.516
steps: 99975, episodes: 4000, mean episode reward: 65.26847256735333, time: 52.137
steps: 124975, episodes: 5000, mean episode reward: 77.59985034957214, time: 56.11
steps: 149975, episodes: 6000, mean episode reward: 79.13023575319478, time: 52.602
steps: 174975, episodes: 7000, mean episode reward: 78.29648753787424, time: 52.046
steps: 199975, episodes: 8000, mean episode reward: 78.01367951100141, time: 52.791
steps: 224975, episodes: 9000, mean episode reward: 84.44675020576936, time: 51.851
steps: 249975, episodes: 10000, mean episode reward: 83.43424106640424, time: 52.168
steps: 274975, episodes: 11000, mean episode reward: 85.7032763275197, time: 52.867
steps: 299975, episodes: 12000, mean episode reward: 94.892331480439, time: 52.354
steps: 324975, episodes: 13000, mean episode reward: 89.35731506119022, time: 52.174
steps: 349975, episodes: 14000, mean episode reward: 89.1079547639318, time: 52.402
steps: 374975, episodes: 15000, mean episode reward: 91.76215631154217, time: 53.291
steps: 399975, episodes: 16000, mean episode reward: 87.56379265084851, time: 52.285
steps: 424975, episodes: 17000, mean episode reward: 91.20771488997289, time: 52.232
steps: 449975, episodes: 18000, mean episode reward: 95.78498184396946, time: 52.587
steps: 474975, episodes: 19000, mean episode reward: 97.09064800550262, time: 52.62
steps: 499975, episodes: 20000, mean episode reward: 94.32510562581689, time: 51.79
steps: 524975, episodes: 21000, mean episode reward: 94.99728223687673, time: 52.235
steps: 549975, episodes: 22000, mean episode reward: 99.33755112340236, time: 52.881
steps: 574975, episodes: 23000, mean episode reward: 98.23492448732875, time: 51.811
steps: 599975, episodes: 24000, mean episode reward: 101.18088728008833, time: 52.643
steps: 624975, episodes: 25000, mean episode reward: 97.17139801627337, time: 53.018
steps: 649975, episodes: 26000, mean episode reward: 102.3334065481777, time: 53.785
steps: 674975, episodes: 27000, mean episode reward: 101.87139255646055, time: 52.662
steps: 699975, episodes: 28000, mean episode reward: 104.00302090408924, time: 52.733
steps: 724975, episodes: 29000, mean episode reward: 106.62355470285733, time: 51.715
steps: 749975, episodes: 30000, mean episode reward: 113.97438084339872, time: 53.195
steps: 774975, episodes: 31000, mean episode reward: 116.56357609753753, time: 52.575
steps: 799975, episodes: 32000, mean episode reward: 122.63018529520161, time: 52.723
steps: 824975, episodes: 33000, mean episode reward: 119.48261737948184, time: 53.378
steps: 849975, episodes: 34000, mean episode reward: 121.82817165011436, time: 52.507
steps: 874975, episodes: 35000, mean episode reward: 132.76483716996975, time: 52.505
steps: 899975, episodes: 36000, mean episode reward: 130.86395050693358, time: 53.112
steps: 924975, episodes: 37000, mean episode reward: 124.4752330536106, time: 53.194
steps: 949975, episodes: 38000, mean episode reward: 133.25216846020317, time: 53.989
steps: 974975, episodes: 39000, mean episode reward: 132.80131479172485, time: 56.493
steps: 999975, episodes: 40000, mean episode reward: 132.3180205296808, time: 54.758
steps: 1024975, episodes: 41000, mean episode reward: 134.94074423081673, time: 53.468
steps: 1049975, episodes: 42000, mean episode reward: 132.551340076629, time: 52.186
steps: 1074975, episodes: 43000, mean episode reward: 148.41458671032586, time: 55.23
steps: 1099975, episodes: 44000, mean episode reward: 144.39720527228906, time: 54.76
steps: 1124975, episodes: 45000, mean episode reward: 145.32375663447039, time: 54.55
steps: 1149975, episodes: 46000, mean episode reward: 160.09806497630984, time: 58.249
steps: 1174975, episodes: 47000, mean episode reward: 168.3983919692054, time: 56.039
steps: 1199975, episodes: 48000, mean episode reward: 164.46532971695405, time: 55.465
steps: 1224975, episodes: 49000, mean episode reward: 173.6894263662689, time: 55.608
steps: 1249975, episodes: 50000, mean episode reward: 170.4215767074064, time: 55.237
steps: 1274975, episodes: 51000, mean episode reward: 177.06050714903103, time: 58.725
steps: 1299975, episodes: 52000, mean episode reward: 178.30004541434522, time: 57.988
steps: 1324975, episodes: 53000, mean episode reward: 186.6356581720474, time: 59.158
steps: 1349975, episodes: 54000, mean episode reward: 178.82961764950062, time: 56.383
steps: 1374975, episodes: 55000, mean episode reward: 188.48220933853986, time: 58.25
steps: 1399975, episodes: 56000, mean episode reward: 185.8731951881666, time: 55.457
steps: 1424975, episodes: 57000, mean episode reward: 193.24905983097608, time: 67.257
steps: 1449975, episodes: 58000, mean episode reward: 194.14737499977718, time: 75.879
steps: 1474975, episodes: 59000, mean episode reward: 200.55162790129933, time: 77.589
steps: 1499975, episodes: 60000, mean episode reward: 207.31333629602344, time: 75.783
steps: 1524975, episodes: 61000, mean episode reward: 209.37689018116933, time: 78.489
steps: 1549975, episodes: 62000, mean episode reward: 217.77578049862362, time: 76.099
steps: 1574975, episodes: 63000, mean episode reward: 222.36722181765563, time: 59.848
steps: 1599975, episodes: 64000, mean episode reward: 220.02742581223237, time: 55.22
steps: 1624975, episodes: 65000, mean episode reward: 233.45761221068514, time: 56.244
steps: 1649975, episodes: 66000, mean episode reward: 229.52999736480422, time: 294.379
steps: 1674975, episodes: 67000, mean episode reward: 233.51481992161396, time: 60.717
steps: 1699975, episodes: 68000, mean episode reward: 231.15534628456442, time: 64.357
steps: 1724975, episodes: 69000, mean episode reward: 238.10329667639778, time: 61.247
steps: 1749975, episodes: 70000, mean episode reward: 232.32830982691664, time: 67.207
steps: 1774975, episodes: 71000, mean episode reward: 240.2558546237262, time: 57.408
steps: 1799975, episodes: 72000, mean episode reward: 239.80588505173145, time: 56.87
steps: 1824975, episodes: 73000, mean episode reward: 247.0998148533171, time: 56.875
steps: 1849975, episodes: 74000, mean episode reward: 242.58891086538856, time: 56.725
steps: 1874975, episodes: 75000, mean episode reward: 247.3909848976535, time: 55.377
steps: 1899975, episodes: 76000, mean episode reward: 251.38242006544664, time: 55.223
steps: 1924975, episodes: 77000, mean episode reward: 249.22430013449542, time: 56.667
steps: 1949975, episodes: 78000, mean episode reward: 259.9460830824334, time: 56.764
steps: 1974975, episodes: 79000, mean episode reward: 264.02756225265284, time: 55.536
steps: 1999975, episodes: 80000, mean episode reward: 260.382239875811, time: 57.302
steps: 2024975, episodes: 81000, mean episode reward: 273.2274445194978, time: 56.274
steps: 2049975, episodes: 82000, mean episode reward: 275.35814033599763, time: 56.557
steps: 2074975, episodes: 83000, mean episode reward: 280.3651632683964, time: 59.066
steps: 2099975, episodes: 84000, mean episode reward: 283.8518612737144, time: 55.597
steps: 2124975, episodes: 85000, mean episode reward: 279.3809307653299, time: 56.204
steps: 2149975, episodes: 86000, mean episode reward: 284.3495843616583, time: 56.271
steps: 2174975, episodes: 87000, mean episode reward: 284.28557036833377, time: 57.377
steps: 2199975, episodes: 88000, mean episode reward: 286.91165146656033, time: 59.885
steps: 2224975, episodes: 89000, mean episode reward: 284.2410724492554, time: 57.811
steps: 2249975, episodes: 90000, mean episode reward: 280.3393799984355, time: 59.046
steps: 2274975, episodes: 91000, mean episode reward: 280.1085489671816, time: 58.709
steps: 2299975, episodes: 92000, mean episode reward: 285.276442924057, time: 57.796
steps: 2324975, episodes: 93000, mean episode reward: 287.29793320331964, time: 56.022
steps: 2349975, episodes: 94000, mean episode reward: 286.5039662291203, time: 55.795
steps: 2374975, episodes: 95000, mean episode reward: 289.1431243854787, time: 55.347
steps: 2399975, episodes: 96000, mean episode reward: 284.88049689303233, time: 54.865
steps: 2424975, episodes: 97000, mean episode reward: 287.7758724312581, time: 54.392
